Título;Cód. empresa;Empresa;Documento;Nº documento;Data emissão;Cód. cliente;Cliente;Origem;Inadimplente;SPC;Serasa;Subjudice;Taxa administrativa;Seguro;Valor a receber;Valor baixado;Valor líquido;Valor total;Observação
447;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;282;02/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 20.893,79;R$ 20.893,79;R$ 20.893,79;ESCOLA JOÃO LINO
448;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;284;02/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 64.273,22;R$ 64.273,22;R$ 64.273,22;ESCOLA CAPITÃO PORFIRIO
449;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;285;02/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 21.936,37;R$ 21.936,37;R$ 21.936,37;ESCOLA MARIA JOSÉ VIANA
450;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;286;02/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 14.814,52;R$ 14.814,52;R$ 14.814,52;ESCOLA MARIA LEIDIANE
457;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;280;02/09/2021;78;PREFEITURA MUNICIPAL DE PARACURU;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 107.136,45;R$ 107.136,45;R$ 107.136,45;PREFEITURA DE PARACURU
472;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFE;290;02/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 16.624,85;R$ 16.624,85;R$ 16.624,85;ESCOLA DIOMENDES MARINHO
452;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;299;16/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7.471,06;R$ 7.471,06;R$ 7.471,06;UBS JORDÃO
453;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;300;16/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 15.335,03;R$ 15.335,03;R$ 15.335,03;UBS MANGA AÇUDINHO
454;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;301;16/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 16.540,33;R$ 16.540,33;R$ 16.540,33;UBS OITICICA
458;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;304;16/09/2021;78;PREFEITURA MUNICIPAL DE PARACURU;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 153.797,86;R$ 153.797,86;R$ 153.797,86;PREFEITURA DE PARACURU
473;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFE;302;16/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 22.827,51;R$ 22.827,51;R$ 22.827,51;ESCOLA LAURA VICUNHA
474;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFE;303;16/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 22.880,43;R$ 22.880,43;R$ 22.880,43;ESCOLA MUN EDUARDO TAVEIRA
